municipality_id,treated,supplement,month,incidents
1,1,0,2023-01,27.1
1,1,0,2023-02,32.11
1,1,0,2023-03,26.24
1,1,0,2023-04,33.16
1,1,0,2023-05,36.86
1,1,0,2023-06,38.11
1,1,0,2023-07,30.02
1,1,0,2023-08,33.69
1,1,0,2023-09,30.08
1,1,0,2023-10,31.56
1,1,0,2023-11,30.25
1,1,0,2023-12,34.39
1,1,0,2024-01,32.33
1,1,0,2024-02,36.97
1,1,0,2024-03,34.66
1,1,0,2024-04,31.26
1,1,0,2024-05,31.52
1,1,0,2024-06,34.11
1,1,0,2024-07,31.3
1,1,0,2024-08,32.21
1,1,0,2024-09,33.03
1,1,0,2024-10,26.17
1,1,0,2024-11,33.89
1,1,0,2024-12,26.83
1,1,0,2025-01,33.86
1,1,0,2025-02,41.2
1,1,0,2025-03,37.56
1,1,0,2025-04,31.69
1,1,0,2025-05,30.1
1,1,0,2025-06,36.8
1,1,0,2025-07,35.78
1,1,0,2025-08,28.77
1,1,0,2025-09,34.55
1,1,0,2025-10,30.98
1,1,0,2025-11,34.03
1,1,0,2025-12,35.73
1,1,0,2026-01,30.0
1,1,0,2026-02,31.54
1,1,0,2026-03,36.47
1,1,0,2026-04,34.06
1,1,0,2026-05,25.2
1,1,0,2026-06,26.96
1,1,0,2026-07,28.08
1,1,0,2026-08,29.2
1,1,0,2026-09,25.77
1,1,0,2026-10,29.81
1,1,0,2026-11,28.15
1,1,0,2026-12,28.27
1,1,0,2027-01,29.47
1,1,0,2027-02,28.02
2,1,1,2023-01,36.62
2,1,1,2023-02,34.84
2,1,1,2023-03,39.76
2,1,1,2023-04,38.44
2,1,1,2023-05,37.71
2,1,1,2023-06,37.0
2,1,1,2023-07,37.87
2,1,1,2023-08,43.69
2,1,1,2023-09,36.84
2,1,1,2023-10,39.84
2,1,1,2023-11,37.49
2,1,1,2023-12,39.26
2,1,1,2024-01,33.56
2,1,1,2024-02,43.22
2,1,1,2024-03,40.97
2,1,1,2024-04,37.64
2,1,1,2024-05,41.86
2,1,1,2024-06,40.09
2,1,1,2024-07,40.71
2,1,1,2024-08,38.64
2,1,1,2024-09,36.32
2,1,1,2024-10,34.06
2,1,1,2024-11,40.49
2,1,1,2024-12,37.45
2,1,1,2025-01,40.13
2,1,1,2025-02,36.17
2,1,1,2025-03,38.48
2,1,1,2025-04,37.63
2,1,1,2025-05,43.2
2,1,1,2025-06,39.13
2,1,1,2025-07,40.26
2,1,1,2025-08,42.04
2,1,1,2025-09,44.33
2,1,1,2025-10,37.23
2,1,1,2025-11,35.96
2,1,1,2025-12,33.4
2,1,1,2026-01,36.88
2,1,1,2026-02,33.37
2,1,1,2026-03,33.6
2,1,1,2026-04,42.09
2,1,1,2026-05,32.2
2,1,1,2026-06,38.52
2,1,1,2026-07,33.3
2,1,1,2026-08,33.39
2,1,1,2026-09,31.75
2,1,1,2026-10,29.06
2,1,1,2026-11,35.84
2,1,1,2026-12,28.86
2,1,1,2027-01,34.77
2,1,1,2027-02,35.48
3,0,0,2023-01,40.75
3,0,0,2023-02,50.18
3,0,0,2023-03,42.26
3,0,0,2023-04,44.44
3,0,0,2023-05,40.52
3,0,0,2023-06,42.63
3,0,0,2023-07,46.81
3,0,0,2023-08,45.59
3,0,0,2023-09,43.47
3,0,0,2023-10,43.19
3,0,0,2023-11,39.75
3,0,0,2023-12,46.44
3,0,0,2024-01,43.42
3,0,0,2024-02,44.05
3,0,0,2024-03,42.79
3,0,0,2024-04,44.19
3,0,0,2024-05,43.68
3,0,0,2024-06,46.25
3,0,0,2024-07,42.15
3,0,0,2024-08,44.24
3,0,0,2024-09,45.33
3,0,0,2024-10,45.15
3,0,0,2024-11,39.04
3,0,0,2024-12,37.4
3,0,0,2025-01,42.97
3,0,0,2025-02,42.26
3,0,0,2025-03,45.58
3,0,0,2025-04,47.57
3,0,0,2025-05,48.08
3,0,0,2025-06,45.49
3,0,0,2025-07,42.04
3,0,0,2025-08,43.91
3,0,0,2025-09,40.19
3,0,0,2025-10,49.48
3,0,0,2025-11,38.33
3,0,0,2025-12,40.53
3,0,0,2026-01,40.44
3,0,0,2026-02,43.96
3,0,0,2026-03,49.49
3,0,0,2026-04,45.37
3,0,0,2026-05,45.65
3,0,0,2026-06,49.73
3,0,0,2026-07,44.8
3,0,0,2026-08,41.34
3,0,0,2026-09,43.15
3,0,0,2026-10,42.84
3,0,0,2026-11,46.81
3,0,0,2026-12,43.61
3,0,0,2027-01,49.35
3,0,0,2027-02,44.89
4,1,0,2023-01,35.07
4,1,0,2023-02,26.22
4,1,0,2023-03,34.58
4,1,0,2023-04,30.63
4,1,0,2023-05,39.41
4,1,0,2023-06,30.47
4,1,0,2023-07,31.42
4,1,0,2023-08,35.64
4,1,0,2023-09,28.36
4,1,0,2023-10,30.96
4,1,0,2023-11,26.83
4,1,0,2023-12,33.46
4,1,0,2024-01,27.74
4,1,0,2024-02,30.79
4,1,0,2024-03,33.38
4,1,0,2024-04,28.83
4,1,0,2024-05,34.09
4,1,0,2024-06,35.83
4,1,0,2024-07,34.77
4,1,0,2024-08,35.62
4,1,0,2024-09,35.07
4,1,0,2024-10,27.97
4,1,0,2024-11,32.28
4,1,0,2024-12,26.49
4,1,0,2025-01,32.55
4,1,0,2025-02,28.06
4,1,0,2025-03,35.29
4,1,0,2025-04,34.49
4,1,0,2025-05,32.65
4,1,0,2025-06,30.67
4,1,0,2025-07,30.8
4,1,0,2025-08,19.77
4,1,0,2025-09,32.28
4,1,0,2025-10,30.25
4,1,0,2025-11,32.56
4,1,0,2025-12,27.65
4,1,0,2026-01,24.98
4,1,0,2026-02,28.23
4,1,0,2026-03,25.51
4,1,0,2026-04,34.65
4,1,0,2026-05,22.92
4,1,0,2026-06,26.2
4,1,0,2026-07,27.84
4,1,0,2026-08,28.11
4,1,0,2026-09,28.74
4,1,0,2026-10,26.87
4,1,0,2026-11,23.45
4,1,0,2026-12,27.25
4,1,0,2027-01,29.95
4,1,0,2027-02,27.93
5,0,0,2023-01,26.74
5,0,0,2023-02,25.42
5,0,0,2023-03,26.77
5,0,0,2023-04,31.62
5,0,0,2023-05,22.8
5,0,0,2023-06,33.57
5,0,0,2023-07,28.37
5,0,0,2023-08,30.34
5,0,0,2023-09,29.26
5,0,0,2023-10,25.24
5,0,0,2023-11,22.12
5,0,0,2023-12,26.25
5,0,0,2024-01,29.14
5,0,0,2024-02,21.53
5,0,0,2024-03,38.21
5,0,0,2024-04,27.04
5,0,0,2024-05,29.91
5,0,0,2024-06,30.81
5,0,0,2024-07,28.46
5,0,0,2024-08,29.47
5,0,0,2024-09,28.76
5,0,0,2024-10,30.73
5,0,0,2024-11,19.42
5,0,0,2024-12,25.63
5,0,0,2025-01,26.93
5,0,0,2025-02,27.72
5,0,0,2025-03,26.46
5,0,0,2025-04,30.77
5,0,0,2025-05,28.91
5,0,0,2025-06,29.69
5,0,0,2025-07,26.02
5,0,0,2025-08,25.46
5,0,0,2025-09,29.34
5,0,0,2025-10,25.39
5,0,0,2025-11,29.35
5,0,0,2025-12,23.13
5,0,0,2026-01,24.35
5,0,0,2026-02,31.06
5,0,0,2026-03,27.18
5,0,0,2026-04,26.87
5,0,0,2026-05,30.19
5,0,0,2026-06,27.53
5,0,0,2026-07,21.99
5,0,0,2026-08,26.14
5,0,0,2026-09,24.91
5,0,0,2026-10,23.05
5,0,0,2026-11,25.25
5,0,0,2026-12,26.3
5,0,0,2027-01,28.0
5,0,0,2027-02,27.33
6,1,1,2023-01,37.82
6,1,1,2023-02,41.33
6,1,1,2023-03,41.91
6,1,1,2023-04,39.96
6,1,1,2023-05,40.3
6,1,1,2023-06,44.54
6,1,1,2023-07,37.38
6,1,1,2023-08,45.52
6,1,1,2023-09,38.3
6,1,1,2023-10,33.25
6,1,1,2023-11,37.79
6,1,1,2023-12,41.02
6,1,1,2024-01,41.51
6,1,1,2024-02,39.62
6,1,1,2024-03,41.18
6,1,1,2024-04,39.89
6,1,1,2024-05,42.99
6,1,1,2024-06,38.73
6,1,1,2024-07,41.92
6,1,1,2024-08,37.41
6,1,1,2024-09,42.43
6,1,1,2024-10,43.52
6,1,1,2024-11,38.82
6,1,1,2024-12,39.0
6,1,1,2025-01,40.5
6,1,1,2025-02,47.63
6,1,1,2025-03,40.13
6,1,1,2025-04,48.03
6,1,1,2025-05,41.06
6,1,1,2025-06,42.66
6,1,1,2025-07,39.78
6,1,1,2025-08,38.98
6,1,1,2025-09,43.78
6,1,1,2025-10,39.14
6,1,1,2025-11,41.84
6,1,1,2025-12,42.41
6,1,1,2026-01,38.56
6,1,1,2026-02,42.12
6,1,1,2026-03,45.66
6,1,1,2026-04,39.83
6,1,1,2026-05,35.75
6,1,1,2026-06,34.03
6,1,1,2026-07,32.75
6,1,1,2026-08,28.77
6,1,1,2026-09,39.23
6,1,1,2026-10,30.0
6,1,1,2026-11,36.67
6,1,1,2026-12,30.72
6,1,1,2027-01,30.88
6,1,1,2027-02,33.09
7,0,0,2023-01,54.73
7,0,0,2023-02,59.32
7,0,0,2023-03,62.05
7,0,0,2023-04,55.79
7,0,0,2023-05,61.68
7,0,0,2023-06,57.55
7,0,0,2023-07,56.49
7,0,0,2023-08,58.46
7,0,0,2023-09,53.28
7,0,0,2023-10,52.57
7,0,0,2023-11,55.86
7,0,0,2023-12,52.52
7,0,0,2024-01,58.8
7,0,0,2024-02,55.78
7,0,0,2024-03,60.2
7,0,0,2024-04,58.89
7,0,0,2024-05,62.46
7,0,0,2024-06,61.69
7,0,0,2024-07,56.82
7,0,0,2024-08,56.68
7,0,0,2024-09,56.4
7,0,0,2024-10,58.58
7,0,0,2024-11,54.9
7,0,0,2024-12,60.4
7,0,0,2025-01,61.11
7,0,0,2025-02,60.09
7,0,0,2025-03,58.07
7,0,0,2025-04,58.64
7,0,0,2025-05,60.78
7,0,0,2025-06,59.53
7,0,0,2025-07,57.88
7,0,0,2025-08,59.76
7,0,0,2025-09,54.47
